Subject,Start Date,Start Time,End Date,End Time
Fluminense x São Paulo Maraca,2024-09-01,18:30,2024-09-01,20:30
Fluminense x Juventude Fora,2024-09-15,16:00,2024-09-15,18:00
Fluminense x Atlético-MG (Ida) Maraca,2024-09-18,19:00,2024-09-18,21:00
Fluminense x Botafogo Maraca,2024-09-21,18:30,2024-09-21,20:30
Fluminense x Atlético-MG (Volta) Fora,2024-09-25,19:00,2024-09-25,21:00
Fluminense x Atlético-GO Fora,2024-09-29,16:00,2024-09-29,18:00
Fluminense x Cruzeiro Maraca,2024-10-03,21:30,2024-10-03,23:30
Fluminense x Flamengo Fora,2024-10-20,,2024-10-20
Fluminense x Vitória Fora,2024-10-26,,2024-10-26
Fluminense x Grêmio Maraca,2024-11-06,,2024-11-06
Fluminense x Internacional Fora,2024-11-13,,2024-11-13
Fluminense x Fortaleza Maraca,2024-11-20,,2024-11-20
Fluminense x Criciúma Maraca,2024-11-24,,2024-11-24
Fluminense x Athletico-PR Fora,2024-12-01,,2024-12-01
Fluminense x Cuiabá Maraca,2024-12-04,,2024-12-04
Fluminense x Palmeiras Fora,2024-12-08,,2024-12-08
